id,provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah,satuan,tahun
1,JAWA BARAT,3204,KABUPATEN BANDUNG,13999,UNIT,2015
2,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,214,UNIT,2015
3,JAWA BARAT,3216,KABUPATEN BEKASI,11153,UNIT,2015
4,JAWA BARAT,3201,KABUPATEN BOGOR,15242,UNIT,2015
5,JAWA BARAT,3207,KABUPATEN CIAMIS,1423,UNIT,2015
6,JAWA BARAT,3203,KABUPATEN CIANJUR,1257,UNIT,2015
7,JAWA BARAT,3209,KABUPATEN CIREBON,10853,UNIT,2015
8,JAWA BARAT,3205,KABUPATEN GARUT,9846,UNIT,2015
9,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2392,UNIT,2015
10,JAWA BARAT,3215,KABUPATEN KARAWANG,10113,UNIT,2015
11,JAWA BARAT,3208,KABUPATEN KUNINGAN,2461,UNIT,2015
12,JAWA BARAT,3210,KABUPATEN MAJALENGKA,7428,UNIT,2015
13,JAWA BARAT,3218,KABUPATEN PANGANDARAN,486,UNIT,2015
14,JAWA BARAT,3214,KABUPATEN PURWAKARTA,10962,UNIT,2015
15,JAWA BARAT,3213,KABUPATEN SUBANG,3433,UNIT,2015
16,JAWA BARAT,3202,KABUPATEN SUKABUMI,15801,UNIT,2015
17,JAWA BARAT,3211,KABUPATEN SUMEDANG,5151,UNIT,2015
18,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1483,UNIT,2015
19,JAWA BARAT,3273,KOTA BANDUNG,10901,UNIT,2015
20,JAWA BARAT,3279,KOTA BANJAR,9712,UNIT,2015
21,JAWA BARAT,3275,KOTA BEKASI,10002,UNIT,2015
22,JAWA BARAT,3271,KOTA BOGOR,8494,UNIT,2015
23,JAWA BARAT,3277,KOTA CIMAHI,6155,UNIT,2015
24,JAWA BARAT,3274,KOTA CIREBON,9421,UNIT,2015
25,JAWA BARAT,3276,KOTA DEPOK,10436,UNIT,2015
26,JAWA BARAT,3272,KOTA SUKABUMI,9462,UNIT,2015
27,JAWA BARAT,3278,KOTA TASIKMALAYA,9801,UNIT,2015
28,JAWA BARAT,3204,KABUPATEN BANDUNG,14094,UNIT,2016
29,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,238,UNIT,2016
30,JAWA BARAT,3216,KABUPATEN BEKASI,11704,UNIT,2016
31,JAWA BARAT,3201,KABUPATEN BOGOR,15711,UNIT,2016
32,JAWA BARAT,3207,KABUPATEN CIAMIS,1476,UNIT,2016
33,JAWA BARAT,3203,KABUPATEN CIANJUR,1300,UNIT,2016
34,JAWA BARAT,3209,KABUPATEN CIREBON,10898,UNIT,2016
35,JAWA BARAT,3205,KABUPATEN GARUT,9880,UNIT,2016
36,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2408,UNIT,2016
37,JAWA BARAT,3215,KABUPATEN KARAWANG,10332,UNIT,2016
38,JAWA BARAT,3208,KABUPATEN KUNINGAN,2481,UNIT,2016
39,JAWA BARAT,3210,KABUPATEN MAJALENGKA,7446,UNIT,2016
40,JAWA BARAT,3218,KABUPATEN PANGANDARAN,487,UNIT,2016
41,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11019,UNIT,2016
42,JAWA BARAT,3213,KABUPATEN SUBANG,3454,UNIT,2016
43,JAWA BARAT,3202,KABUPATEN SUKABUMI,15955,UNIT,2016
44,JAWA BARAT,3211,KABUPATEN SUMEDANG,5204,UNIT,2016
45,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1500,UNIT,2016
46,JAWA BARAT,3273,KOTA BANDUNG,10943,UNIT,2016
47,JAWA BARAT,3279,KOTA BANJAR,9719,UNIT,2016
48,JAWA BARAT,3275,KOTA BEKASI,10142,UNIT,2016
49,JAWA BARAT,3271,KOTA BOGOR,8829,UNIT,2016
50,JAWA BARAT,3277,KOTA CIMAHI,6158,UNIT,2016
51,JAWA BARAT,3274,KOTA CIREBON,9428,UNIT,2016
52,JAWA BARAT,3276,KOTA DEPOK,10483,UNIT,2016
53,JAWA BARAT,3272,KOTA SUKABUMI,9530,UNIT,2016
54,JAWA BARAT,3278,KOTA TASIKMALAYA,9938,UNIT,2016
55,JAWA BARAT,3204,KABUPATEN BANDUNG,15917,UNIT,2017
56,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,15989,UNIT,2017
57,JAWA BARAT,3216,KABUPATEN BEKASI,1324,UNIT,2017
58,JAWA BARAT,3201,KABUPATEN BOGOR,14204,UNIT,2017
59,JAWA BARAT,3207,KABUPATEN CIAMIS,9981,UNIT,2017
60,JAWA BARAT,3203,KABUPATEN CIANJUR,1526,UNIT,2017
61,JAWA BARAT,3209,KABUPATEN CIREBON,1503,UNIT,2017
62,JAWA BARAT,3205,KABUPATEN GARUT,2506,UNIT,2017
63,JAWA BARAT,3212,KABUPATEN INDRAMAYU,10938,UNIT,2017
64,JAWA BARAT,3215,KABUPATEN KARAWANG,7457,UNIT,2017
65,JAWA BARAT,3208,KABUPATEN KUNINGAN,5232,UNIT,2017
66,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2427,UNIT,2017
67,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3487,UNIT,2017
68,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11098,UNIT,2017
69,JAWA BARAT,3213,KABUPATEN SUBANG,10515,UNIT,2017
70,JAWA BARAT,3202,KABUPATEN SUKABUMI,12556,UNIT,2017
71,JAWA BARAT,3211,KABUPATEN SUMEDANG,352,UNIT,2017
72,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,495,UNIT,2017
73,JAWA BARAT,3273,KOTA BANDUNG,8867,UNIT,2017
74,JAWA BARAT,3279,KOTA BANJAR,9551,UNIT,2017
75,JAWA BARAT,3275,KOTA BEKASI,11092,UNIT,2017
76,JAWA BARAT,3271,KOTA BOGOR,9446,UNIT,2017
77,JAWA BARAT,3277,KOTA CIMAHI,10360,UNIT,2017
78,JAWA BARAT,3274,KOTA CIREBON,10538,UNIT,2017
79,JAWA BARAT,3276,KOTA DEPOK,6176,UNIT,2017
80,JAWA BARAT,3272,KOTA SUKABUMI,9987,UNIT,2017
81,JAWA BARAT,3278,KOTA TASIKMALAYA,9767,UNIT,2017
82,JAWA BARAT,3204,KABUPATEN BANDUNG,14229,UNIT,2018
83,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,384,UNIT,2018
84,JAWA BARAT,3216,KABUPATEN BEKASI,12639,UNIT,2018
85,JAWA BARAT,3201,KABUPATEN BOGOR,15961,UNIT,2018
86,JAWA BARAT,3207,KABUPATEN CIAMIS,1534,UNIT,2018
87,JAWA BARAT,3203,KABUPATEN CIANJUR,1335,UNIT,2018
88,JAWA BARAT,3209,KABUPATEN CIREBON,10942,UNIT,2018
89,JAWA BARAT,3205,KABUPATEN GARUT,9993,UNIT,2018
90,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2429,UNIT,2018
91,JAWA BARAT,3215,KABUPATEN KARAWANG,10548,UNIT,2018
92,JAWA BARAT,3208,KABUPATEN KUNINGAN,2534,UNIT,2018
93,JAWA BARAT,3210,KABUPATEN MAJALENGKA,7473,UNIT,2018
94,JAWA BARAT,3218,KABUPATEN PANGANDARAN,495,UNIT,2018
95,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11125,UNIT,2018
96,JAWA BARAT,3213,KABUPATEN SUBANG,3498,UNIT,2018
97,JAWA BARAT,3202,KABUPATEN SUKABUMI,16165,UNIT,2018
98,JAWA BARAT,3211,KABUPATEN SUMEDANG,5254,UNIT,2018
99,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1526,UNIT,2018
100,JAWA BARAT,3273,KOTA BANDUNG,11124,UNIT,2018
101,JAWA BARAT,3279,KOTA BANJAR,9798,UNIT,2018
102,JAWA BARAT,3275,KOTA BEKASI,10418,UNIT,2018
103,JAWA BARAT,3271,KOTA BOGOR,8875,UNIT,2018
104,JAWA BARAT,3277,KOTA CIMAHI,6181,UNIT,2018
105,JAWA BARAT,3274,KOTA CIREBON,9450,UNIT,2018
106,JAWA BARAT,3276,KOTA DEPOK,10540,UNIT,2018
107,JAWA BARAT,3272,KOTA SUKABUMI,9571,UNIT,2018
108,JAWA BARAT,3278,KOTA TASIKMALAYA,10005,UNIT,2018
109,JAWA BARAT,3204,KABUPATEN BANDUNG,14233,UNIT,2019
110,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,389,UNIT,2019
111,JAWA BARAT,3216,KABUPATEN BEKASI,12653,UNIT,2019
112,JAWA BARAT,3201,KABUPATEN BOGOR,16049,UNIT,2019
113,JAWA BARAT,3207,KABUPATEN CIAMIS,1539,UNIT,2019
114,JAWA BARAT,3203,KABUPATEN CIANJUR,1346,UNIT,2019
115,JAWA BARAT,3209,KABUPATEN CIREBON,11144,UNIT,2019
116,JAWA BARAT,3205,KABUPATEN GARUT,10000,UNIT,2019
117,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2430,UNIT,2019
118,JAWA BARAT,3215,KABUPATEN KARAWANG,10553,UNIT,2019
119,JAWA BARAT,3208,KABUPATEN KUNINGAN,2573,UNIT,2019
120,JAWA BARAT,3210,KABUPATEN MAJALENGKA,7475,UNIT,2019
121,JAWA BARAT,3218,KABUPATEN PANGANDARAN,531,UNIT,2019
122,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11125,UNIT,2019
123,JAWA BARAT,3213,KABUPATEN SUBANG,3538,UNIT,2019
124,JAWA BARAT,3202,KABUPATEN SUKABUMI,16166,UNIT,2019
125,JAWA BARAT,3211,KABUPATEN SUMEDANG,5254,UNIT,2019
126,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1551,UNIT,2019
127,JAWA BARAT,3273,KOTA BANDUNG,11124,UNIT,2019
128,JAWA BARAT,3279,KOTA BANJAR,9821,UNIT,2019
129,JAWA BARAT,3275,KOTA BEKASI,10433,UNIT,2019
130,JAWA BARAT,3271,KOTA BOGOR,8875,UNIT,2019
131,JAWA BARAT,3277,KOTA CIMAHI,6181,UNIT,2019
132,JAWA BARAT,3274,KOTA CIREBON,9452,UNIT,2019
133,JAWA BARAT,3276,KOTA DEPOK,10549,UNIT,2019
134,JAWA BARAT,3272,KOTA SUKABUMI,9571,UNIT,2019
135,JAWA BARAT,3278,KOTA TASIKMALAYA,10005,UNIT,2019
